seed,target,method,epoch,q_t,lo_frac,hi_frac,lambda_t,c_epoch,shift,pi_real,shrunk,q_max,n_conf,stopped
0,arabic,ours_gmmq,0,0.1,0.0505,0.1495,0.3,,,0.2525,False,0.3,1323,
0,arabic,ours_gmmq,1,0.1286,0.0649,0.1922,0.3,0.0,0.30303,0.2525,False,0.3,1545,
0,arabic,ours_gmmq,2,0.1571,0.0793,0.2349,0.3,0.0,0.0216,0.2525,False,0.3,1889,
0,arabic,ours_gmmq,3,0.1857,0.0938,0.2777,0.3,0.0,0.06035,0.2525,False,0.3,2229,fixed_E
0,dataset2,ours_gmmq,0,0.1,0.0875,0.1125,0.3,,,0.4375,False,0.3,797,
0,dataset2,ours_gmmq,1,0.1286,0.1125,0.1447,0.3,0.0,0.4028,0.4375,False,0.3,714,
0,dataset2,ours_gmmq,2,0.1571,0.1375,0.1768,0.3,0.0,0.02488,0.4375,False,0.3,875,
0,dataset2,ours_gmmq,3,0.1857,0.1625,0.2089,0.3,0.0,0.03408,0.4375,False,0.3,1032,fixed_E
0,in_the_wild,ours_gmmq,0,0.1,0.0444,0.1556,0.3,,,0.222,False,0.3,3060,
0,in_the_wild,ours_gmmq,1,0.1286,0.0571,0.2,0.3,0.0,0.03549,0.222,False,0.3,3245,
0,in_the_wild,ours_gmmq,2,0.1571,0.0698,0.2445,0.3,0.0,0.10949,0.222,False,0.3,1894,
0,in_the_wild,ours_gmmq,3,0.1857,0.0825,0.289,0.3,0.0,0.0434,0.222,False,0.3,2233,fixed_E
0,asvspoof2019,ours_gmmq,0,0.1,0.0348,0.1652,0.3,,,0.1741,False,0.3,3352,
0,asvspoof2019,ours_gmmq,1,0.1286,0.0448,0.2124,0.3,0.0,0.20998,0.1741,False,0.3,1698,
0,asvspoof2019,ours_gmmq,2,0.1571,0.0547,0.2596,0.3,0.0,0.06334,0.1741,False,0.3,1891,
0,asvspoof2019,ours_gmmq,3,0.1857,0.0647,0.3068,0.3,0.0,0.05244,0.1741,False,0.3,2232,fixed_E
