protocol,mechanisms,seed,features,model,accuracy,bal_acc,eer,auc,fold
P0_speaker_disjoint,none,0,MFCC,GNB,58.82970348989767,58.93057141708109,41.170409803056316,0.6224394539631961,
P0_speaker_disjoint,none,0,MFCC,LR,81.42219889792706,81.47180541530386,18.525550231959315,0.892665997865787,
P0_speaker_disjoint,none,0,MFCC,RF,79.42797166098137,79.5678989901327,17.738235522581945,0.910385364829778,
P0_speaker_disjoint,none,0,MFCC,KNC,80.53004460771452,80.67531810737063,15.979575680548965,0.8767296408252805,
P0_speaker_disjoint,none,0,Transfer(GNB+NMF),GNB,61.53240619260036,61.65472300680535,37.33816423523941,0.715651510669137,
P0_speaker_disjoint,none,0,Transfer(GNB+NMF),LR,76.8039884544739,76.87036997249321,23.14381587812619,0.8709239093009047,
P0_speaker_disjoint,none,0,Transfer(GNB+NMF),RF,78.11598005772763,78.26671217157002,19.732118804157583,0.8974610908285583,
P0_speaker_disjoint,none,0,Transfer(GNB+NMF),KNC,80.05772763054317,80.17315276811395,18.076519855508156,0.8762281778922194,
P1_random_holdout,M2,0,MFCC,GNB,66.24253440664762,66.24170948470014,33.23812221008483,0.7355345174036763,
P1_random_holdout,M2,0,MFCC,LR,80.73227733056349,80.73226254534667,19.397540154549496,0.8877916683524161,
P1_random_holdout,M2,0,MFCC,RF,90.93741885224617,90.93702040431013,9.114509581799304,0.9674769052339145,
P1_random_holdout,M2,0,MFCC,KNC,94.88444559854582,94.88319779908565,3.557956062628959,0.986111178541085,
P1_random_holdout,M2,0,Transfer(GNB+NMF),GNB,68.89119709166451,68.89083087213929,30.849132176234985,0.7847613653221129,
P1_random_holdout,M2,0,Transfer(GNB+NMF),LR,78.13554920799793,78.13577699559008,21.864452266321425,0.8614001159795552,
P1_random_holdout,M2,0,Transfer(GNB+NMF),RF,87.76941054271617,87.76967269490635,11.893015603295975,0.9525020566142062,
P1_random_holdout,M2,0,Transfer(GNB+NMF),KNC,92.26175019475461,92.26032015751642,6.7516823778506,0.9727853973648367,
P2_random_kfold,M2,0,MFCC,GNB,65.835605765485,65.83514148795894,33.644980052406694,0.7279462578449855,0.0
P2_random_kfold,M2,0,MFCC,LR,80.0025970653162,80.00266080323209,20.10128251390261,0.8832682352703126,0.0
P2_random_kfold,M2,0,MFCC,RF,90.27399039085833,90.27376259160211,9.764969125914337,0.9638956317637181,0.0
P2_random_kfold,M2,0,MFCC,KNC,94.32541228411895,94.32475963402996,3.999696486323334,0.9849871343924836,0.0
P2_random_kfold,M2,0,Transfer(GNB+NMF),GNB,67.77041942604856,67.77013560316598,32.04778991457776,0.7703918361565727,0.0
P2_random_kfold,M2,0,Transfer(GNB+NMF),LR,77.96390079210492,77.96406060830886,22.243863122076572,0.8588606771052889,0.0
P2_random_kfold,M2,0,Transfer(GNB+NMF),RF,86.75496688741721,86.75510155904858,13.206072296957782,0.9466847201098044,0.0
P2_random_kfold,M2,0,Transfer(GNB+NMF),KNC,91.57252304895468,91.57170847848593,7.362759546348227,0.9712573222674494,0.0
P2_random_kfold,M2,0,MFCC,GNB,65.61485521360862,65.61546166116408,34.04752686939132,0.7284125560235661,1.0
P2_random_kfold,M2,0,MFCC,LR,80.48305414881185,80.48293410043605,19.413065252068108,0.8851013904298766,1.0
P2_random_kfold,M2,0,MFCC,RF,90.97519802623036,90.97543562643537,9.492272204554727,0.9678920975155719,1.0
P2_random_kfold,M2,0,MFCC,KNC,94.9487079600052,94.9492660027586,3.8694756295379538,0.9874696402013983,1.0
