corpus,ckpt,q,skew,seed,setting,prior,worst_purity,n_adapt,delta,excess,wrong,ba_source,ba_adapted,d_ba
df2021,deepfense_w2v2_aasist_s2,0.02,0,0,available_pool,0.9721902431,0.98,20000,0,0,8,88.28171755,83.88255717,-4.399160386
df2021,deepfense_w2v2_aasist_s2,0.02,0,0,disjoint_eval,0.9722659587,0.98,20000,0,0,8,88.27491258,83.84213919,-4.432773387
df2021,deepfense_w2v2_aasist_s2,0.02,0.01,0,available_pool,0.009957325747,0.4347826087,8000,0.0105,84,91,88.13757184,78.04418103,-10.0933908
df2021,deepfense_w2v2_aasist_s2,0.02,0.01,0,disjoint_eval,0.01077586207,0.4347826087,8000,0.0105,84,91,88.43759726,78.0734516,-10.36414566
df2021,deepfense_w2v2_aasist_s2,0.02,0.1,0,available_pool,0.09997575366,1,8000,0,0,0,88.07916992,77.93642241,-10.14274751
df2021,deepfense_w2v2_aasist_s2,0.02,0.1,0,disjoint_eval,0.1051909444,1,8000,0,0,0,88.30820342,77.84308715,-10.46511628
df2021,deepfense_w2v2_aasist_s2,0.02,0.5,0,available_pool,0.5,1,8000,0,0,0,88.12859195,79.52137213,-8.607219828
df2021,deepfense_w2v2_aasist_s2,0.02,0.5,0,disjoint_eval,0.4973374439,1,8000,0,0,0,88.10040884,79.48131158,-8.619097265
df2021,deepfense_w2v2_aasist_s2,0.02,0.5,1,available_pool,0.5,1,8000,0,0,0,88.12859195,78.03071121,-10.09788075
df2021,deepfense_w2v2_aasist_s2,0.02,0.5,1,disjoint_eval,0.4979680493,1,8000,0,0,0,87.97405249,77.8924762,-10.0815763
df2021,deepfense_w2v2_aasist_s2,0.02,0.5,2,available_pool,0.5,1,8000,0,0,0,88.12859195,78.18336925,-9.945222701
df2021,deepfense_w2v2_aasist_s2,0.02,0.5,2,disjoint_eval,0.5011210762,1,8000,0,0,0,87.95762323,78.08289659,-9.874726642
df2021,deepfense_w2v2_aasist_s2,0.02,0.9,0,available_pool,0.9,1,8000,0,0,0,88.2298651,79.43706098,-8.792804119
df2021,deepfense_w2v2_aasist_s2,0.02,0.9,0,disjoint_eval,0.9000386997,1,8000,0,0,0,88.19859514,79.34411793,-8.854477201
df2021,deepfense_w2v2_aasist_s2,0.05,0,0,available_pool,0.9721902431,0.5274725275,20000,0.0208,416,473,88.28171755,93.94647664,5.664759089
df2021,deepfense_w2v2_aasist_s2,0.05,0,0,disjoint_eval,0.9722659587,0.5274725275,20000,0.0208,416,473,88.27491258,93.93817233,5.663259754
df2021,deepfense_w2v2_aasist_s2,0.1,0,0,available_pool,0.9721902431,0.2861400894,20000,0.0714,1428,1437,88.28171755,92.5748109,4.293093347
df2021,deepfense_w2v2_aasist_s2,0.1,0,0,disjoint_eval,0.9722659587,0.2861400894,20000,0.0714,1428,1437,88.27491258,92.55920313,4.284290553
df2021,deepfense_w2v2_aasist_s2,0.15,0.01,0,available_pool,0.009957325747,0.06390041494,8000,0.141,1128,1128,88.13757184,80.09159483,-8.045977011
df2021,deepfense_w2v2_aasist_s2,0.15,0.01,0,disjoint_eval,0.01077586207,0.06390041494,8000,0.141,1128,1128,88.43759726,79.94086523,-8.496732026
df2021,deepfense_w2v2_aasist_s2,0.15,0.1,0,available_pool,0.09997575366,0.6225,8000,0.052875,423,453,88.07916992,80.47323994,-7.605929976
df2021,deepfense_w2v2_aasist_s2,0.15,0.1,0,disjoint_eval,0.1051909444,0.6225,8000,0.052875,423,453,88.30820342,80.32200358,-7.986199847
df2021,deepfense_w2v2_aasist_s2,0.15,0.5,0,available_pool,0.5,1,8000,0,0,0,88.12859195,81.25448994,-6.874102011
df2021,deepfense_w2v2_aasist_s2,0.15,0.5,0,disjoint_eval,0.4973374439,1,8000,0,0,0,88.10040884,81.25841351,-6.84199533
df2021,deepfense_w2v2_aasist_s2,0.15,0.9,0,available_pool,0.9,0.6466666667,8000,0.0495,396,424,88.2298651,93.71956817,5.489703065
df2021,deepfense_w2v2_aasist_s2,0.15,0.9,0,disjoint_eval,0.9000386997,0.6466666667,8000,0.0495,396,424,88.19859514,93.71125505,5.512659916
df2021,deepfense_w2v2_aasist_s2,0.3,0,0,available_pool,0.9721902431,0.08988936693,20000,0.29615,5923,5923,88.28171755,80.88508074,-7.39663681
df2021,deepfense_w2v2_aasist_s2,0.3,0,0,disjoint_eval,0.9722659587,0.08988936693,20000,0.29615,5923,5923,88.27491258,80.88335105,-7.391561528
df2021,deepfense_w2v2_aasist_s2,0.3,0.01,0,available_pool,0.009957325747,0.03208333333,8000,0.290375,2323,2323,88.13757184,77.50538793,-10.63218391
