corpus,ckpt,arm,seed,eval_sub,q,skew,rule,label,nominal,actual,purity,bound,n_adapt,pi_c,excess,wrong
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,0,0.3,0.30485,0.09594882729,0.09594882729,20000,0.02925,5512,5512
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,1,0.3,0.30955,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,0,0.01439759036,0.0144,0.9965277778,1,20000,0.02925,0,1
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,1,0.5856024096,0.59265,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,0,0.3,0.3254,0.08988936693,0.08988936693,20000,0.02925,5923,5923
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,1,0.3,0.38145,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,bbse,0,0.01703963874,0.01715,0.9941690962,1,20000,0.02925,0,2
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,bbse,1,0.5829603613,0.62345,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0,symmetric,0,0.02,0.02,0.98,1,20000,0.02925,0,8
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0,symmetric,1,0.02,0.03005,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0,bbse,0,0.001135975916,0.0012,1,1,20000,0.02925,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0,bbse,1,0.03886402408,0.064,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,symmetric,0,0.05,0.05005,0.5274725275,0.5844155844,20000,0.02925,416,473
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,symmetric,1,0.05,0.064,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,bbse,0,0.002839939789,0.0029,1,1,20000,0.02925,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,bbse,1,0.09716006021,0.12015,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.1,0,symmetric,0,0.1,0.10065,0.2861400894,0.2906110283,20000,0.02925,1428,1437
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.1,0,symmetric,1,0.1,0.12015,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.1,0,bbse,0,0.005679879579,0.0057,1,1,20000,0.02925,0,0
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.1,0,bbse,1,0.1943201204,0.1957,1,1,20000,0.97075,0,0
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,symmetric,0,0.3,0.35665,0.08173279125,0.08201317819,20000,0.02925,6548,6550
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,symmetric,1,0.3,0.361,0.9998614958,1,20000,0.97075,0,1
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse,0,0.01172452408,0.01175,0.9872340426,1,20000,0.02925,0,3
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse,1,0.5882754759,0.63595,0.9998427549,1,20000,0.97075,0,2
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,0,0.3,0.3,0.993,1,20000,0.62905,0,42
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,1,0.3,0.3013,0.947892466,1,20000,0.37095,0,314
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,0,0.1931325301,0.19335,0.9971554176,1,20000,0.62905,0,11
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,1,0.4068674699,0.40725,0.8462860651,0.9108655617,20000,0.37095,726,1252
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,0,0.3,0.30045,0.9936761524,1,20000,0.62905,0,38
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,1,0.3,0.30065,0.9472808914,1,20000,0.37095,0,317
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,bbse,0,0.3321826392,0.3331,0.9923446412,1,20000,0.62905,0,51
