corpus,ckpt,arm,seed,eval_sub,q,skew,rule,setting,pi_hat,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,median,available_pool,0.9760040161,400435,0.9721902431,3.823875237,3.824233579,0.9942725221,53.46210996,76.05671769,0.01795977011,47.86860485,99.11296465,45.6508547,0.9998859167,0,0,1.453419406,4131
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,median,disjoint_eval,0.9760040161,380435,0.9722659587,3.829770235,3.830524246,0.994224211,53.48955801,76.0722127,0.01895554924,47.83661905,99.11154336,45.62198536,0.9998859167,0,0,1.455439168,4034
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse_quantile,available_pool,0.9760040161,400435,0.9721902431,3.823875237,3.824233579,0.9942725221,99.11271492,87.10901179,25.6016523,0.180324121,99.11296465,0.0002497284203,0.5130575299,0,0,1.453419406,4131
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse_quantile,disjoint_eval,0.9760040161,380435,0.9722659587,3.829770235,3.830524246,0.994224211,99.11101765,87.05296497,25.71320254,0.1808675152,99.11154336,0.0005257139853,0.5130575299,0,0,1.455439168,4034
df2021,deepfense_w2v2_aasist_s240,source,1,50000,0.3,0,median,available_pool,0.9781626506,50000,0.9723,3.852453646,3.846917002,0.9939446049,53.466,76.03507037,0.07220216606,47.8576571,99.084,45.618,0.9998859167,0,0,1.482,1552
df2021,deepfense_w2v2_aasist_s240,source,1,50000,0.3,0,median,disjoint_eval,0.9781626506,30000,0.9719333333,3.68804442,3.6859748,0.9942121587,53.36333333,76.00829961,0,47.98340078,99.07666667,45.71333333,0.9998859167,0,0,1.5,1206
df2021,deepfense_w2v2_aasist_s240,source,1,50000,0.3,0,bbse_quantile,available_pool,0.9781626506,50000,0.9723,3.852453646,3.846917002,0.9939446049,99.05,86.35924495,27.07581227,0.2056978299,99.084,0.034,0.5167665482,0,0,1.482,1552
df2021,deepfense_w2v2_aasist_s240,source,1,50000,0.3,0,bbse_quantile,disjoint_eval,0.9781626506,30000,0.9719333333,3.68804442,3.6859748,0.9942121587,99.04333333,86.35963468,27.0783848,0.2023458399,99.07666667,0.03333333333,0.5167665482,0,0,1.5,1206
df2021,deepfense_w2v2_aasist_s240,source,2,50000,0.3,0,median,available_pool,0.9770582329,50000,0.9723,3.852453646,3.846917002,0.9939446049,53.466,76.03507037,0.07220216606,47.8576571,99.084,45.618,0.9998859167,0,0,1.482,1552
df2021,deepfense_w2v2_aasist_s240,source,2,50000,0.3,0,median,disjoint_eval,0.9770582329,30000,0.9720333333,3.87036815,3.846266089,0.9932617523,53.65,76.10034489,0.1191895113,47.68012071,99.04333333,45.39333333,0.9998859167,0,0,1.533333333,1217
df2021,deepfense_w2v2_aasist_s240,source,2,50000,0.3,0,bbse_quantile,available_pool,0.9770582329,50000,0.9723,3.852453646,3.846917002,0.9939446049,99.054,86.36130193,27.07581227,0.2015838733,99.084,0.03,0.5144612193,0,0,1.482,1552
