target,seed,phase,overall_auc,overall_eer,generator,n_fake,auc,eer
asvspoof2019,0,source,0.9907932816537468,4.6949612403100796,A01,515,0.9996368630992699,0.7766990291335003
asvspoof2019,0,source,0.9907932816537468,4.6949612403100796,A02,516,0.999572216212968,0.9302325580517478
asvspoof2019,0,source,0.9907932816537468,4.6949612403100796,A03,499,0.99757305308291,2.635658914909733
asvspoof2019,0,source,0.9907932816537468,4.6949612403100796,A04,493,0.9884774439045867,4.651162790658582
asvspoof2019,0,source,0.9907932816537468,4.6949612403100796,A05,476,0.9979325451110677,1.8217054264309973
asvspoof2019,0,source,0.9907932816537468,4.6949612403100796,A06,501,0.9614039363134197,10.978043912175647
asvspoof2019,0,adapted,0.9919068475452196,4.337209302325581,A01,515,0.9998479717016633,0.5825242718446643
asvspoof2019,0,adapted,0.9919068475452196,4.337209302325581,A02,516,0.9998452617030227,0.6201550388964331
asvspoof2019,0,adapted,0.9919068475452196,4.337209302325581,A03,499,0.9982480464805581,2.240987333549854
asvspoof2019,0,adapted,0.9919068475452196,4.337209302325581,A04,493,0.990670550497665,4.328018223234623
asvspoof2019,0,adapted,0.9919068475452196,4.337209302325581,A05,476,0.9991181356263436,1.2605042017225117
asvspoof2019,0,adapted,0.9919068475452196,4.337209302325581,A06,501,0.9636169521422271,10.256410256410255
asvspoof2019,1,source,0.9862561369509044,5.89573643410853,A01,488,0.9988701709238785,1.4344262295576777
asvspoof2019,1,source,0.9862561369509044,5.89573643410853,A02,534,0.9997706355427808,0.7490636704125707
asvspoof2019,1,source,0.9862561369509044,5.89573643410853,A03,502,0.9971293122085302,2.4031007752018385
asvspoof2019,1,source,0.9862561369509044,5.89573643410853,A04,507,0.9684701007599039,9.664694280079154
asvspoof2019,1,source,0.9862561369509044,5.89573643410853,A05,472,0.9946331789515176,2.7542372881681927
asvspoof2019,1,source,0.9862561369509044,5.89573643410853,A06,497,0.9585555971487841,11.468812877263579
asvspoof2019,1,adapted,0.9934771317829456,4.1042635658914755,A01,488,0.9997791968483923,0.6976744186439036
asvspoof2019,1,adapted,0.9934771317829456,4.1042635658914755,A02,534,0.9999883866097611,0.18726591760308606
asvspoof2019,1,adapted,0.9934771317829456,4.1042635658914755,A03,502,0.9994467864974212,0.9960159362540527
asvspoof2019,1,adapted,0.9934771317829456,4.1042635658914755,A04,507,0.9843955934743055,5.917159763313611
asvspoof2019,1,adapted,0.9934771317829456,4.1042635658914755,A05,472,0.9989685980817239,1.1627906977357956
asvspoof2019,1,adapted,0.9934771317829456,4.1042635658914755,A06,497,0.9783125107232543,7.847082494969833
asvspoof2019,2,source,0.9934936046511629,3.5135658914728696,A01,513,0.9998519122958127,0.6201550387967114
asvspoof2019,2,source,0.9934936046511629,3.5135658914728696,A02,484,0.9995967871100007,1.0330578512396758
asvspoof2019,2,source,0.9934936046511629,3.5135658914728696,A03,497,0.9982078517617331,2.0120724345949945
asvspoof2019,2,source,0.9934936046511629,3.5135658914728696,A04,487,0.9822051637139264,6.981519507231557
asvspoof2019,2,source,0.9934936046511629,3.5135658914728696,A05,514,0.9971797424064187,2.3917259211376867
asvspoof2019,2,source,0.9934936046511629,3.5135658914728696,A06,505,0.9836798679867986,7.093023255788896
asvspoof2019,2,adapted,0.9964073643410852,2.4375968992248054,A01,513,0.9999901778563549,0.19493177386574304
asvspoof2019,2,adapted,0.9964073643410852,2.4375968992248054,A02,484,0.9999959958998014,0.07751937990142062
asvspoof2019,2,adapted,0.9964073643410852,2.4375968992248054,A03,497,0.9997453714535274,0.8048289738411114
asvspoof2019,2,adapted,0.9964073643410852,2.4375968992248054,A04,487,0.9876510195310634,4.722792607802868
asvspoof2019,2,adapted,0.9964073643410852,2.4375968992248054,A05,514,0.9995731909631105,0.5836575875489183
asvspoof2019,2,adapted,0.9964073643410852,2.4375968992248054,A06,505,0.99126525443242,5.148514851485142
asvspoof2019,3,source,0.9934908268733849,3.4581395348837187,A01,522,0.9995607977664914,0.38314176245343934
asvspoof2019,3,source,0.9934908268733849,3.4581395348837187,A02,511,0.9996237807005568,0.39138943247160557
asvspoof2019,3,source,0.9934908268733849,3.4581395348837187,A03,484,0.999179960279326,1.4728682170894534
asvspoof2019,3,source,0.9934908268733849,3.4581395348837187,A04,500,0.9779170542635659,6.424581005586592
asvspoof2019,3,source,0.9934908268733849,3.4581395348837187,A05,495,0.9980232558139536,1.4141414141568605
asvspoof2019,3,source,0.9934908268733849,3.4581395348837187,A06,488,0.9862927309696277,5.891472868191655
asvspoof2019,3,adapted,0.995776291989664,2.45426356589147,A01,522,0.9999391131307731,0.19157088118087304
asvspoof2019,3,adapted,0.995776291989664,2.45426356589147,A02,511,0.9998957053353358,0.1956947162426686
asvspoof2019,3,adapted,0.995776291989664,2.45426356589147,A03,484,0.9997653597283618,0.8264462809897474
asvspoof2019,3,adapted,0.995776291989664,2.45426356589147,A04,500,0.9841294573643411,5.399999999999968
asvspoof2019,3,adapted,0.995776291989664,2.45426356589147,A05,495,0.9996159267089499,0.9105691056910581
asvspoof2019,3,adapted,0.995776291989664,2.45426356589147,A06,488,0.9910920224933282,4.098360655737706
asvspoof2019,4,source,0.9894926356589149,4.658914728682169,A01,495,0.9991919191919192,1.010101010101006
asvspoof2019,4,source,0.9894926356589149,4.658914728682169,A02,503,0.9993296037727125,0.8527131783701715
asvspoof2019,4,source,0.9894926356589149,4.658914728682169,A03,504,0.9936281069275256,3.8759689922289358
