source,auc_src,skew,boot,pi_true,pi_gmm,pi_bbse,pi_predrate,bic_delta,gmm_shrunk,racc_shipped,bacc_shipped,racc_median,bacc_median,racc_prev_oracle,bacc_prev_oracle,racc_prev_gmm,bacc_prev_gmm,racc_prev_bbse,bacc_prev_bbse,racc_prev_predrate,bacc_prev_predrate,racc_orateN,bacc_orateN,plpur_real_sym,plpur_fake_sym,pln_real_sym,pln_fake_sym,plpur_real_gmm,plpur_fake_gmm,pln_real_gmm,pln_fake_gmm,plpur_real_bbse,plpur_fake_bbse,pln_real_bbse,pln_fake_bbse
itw_real,0.9592,0.5,0,0.5,0.4579,0.4928,0.6408,24535.22,False,84.08,84.08,89.5,89.5,89.5,89.5,88.58,88.58,89.23,89.23,84.08,84.08,89.92,89.92,0.9817,0.9656,1802,1802,0.9805,0.9722,1952,1653,0.9819,0.9674,1827,1781
itw_real,0.958,0.5,1,0.5,0.454,0.4885,0.638,24233.62,False,84.2,84.2,89.68,89.68,89.68,89.68,88.1,88.1,89.03,89.03,84.2,84.2,89.75,89.75,0.9845,0.965,1801,1800,0.9832,0.9677,1966,1639,0.9848,0.9643,1846,1764
itw_real,0.9569,0.5,2,0.5,0.4698,0.493,0.641,25378.93,False,84.17,84.17,88.57,88.57,88.57,88.57,88.28,88.28,88.42,88.42,84.17,84.17,89.27,89.27,0.9839,0.9623,1800,1803,0.9843,0.9653,1912,1698,0.9841,0.9634,1826,1775
itw_real,0.9634,0.5,3,0.5,0.4583,0.4756,0.6293,25034.68,False,85.17,85.17,89.7,89.7,89.7,89.7,88.63,88.63,89.15,89.15,85.17,85.17,90.4,90.4,0.9873,0.9744,1805,1800,0.9862,0.977,1950,1655,0.9857,0.9779,1888,1717
itw_real,0.9621,0.5,4,0.5,0.4618,0.4983,0.6445,24692.44,False,83.95,83.95,89.6,89.6,89.6,89.6,89.1,89.1,89.52,89.52,83.95,83.95,90.0,90.0,0.9889,0.9706,1807,1800,0.9876,0.9736,1939,1667,0.9889,0.9705,1807,1794
itw_real,0.9601,0.5,5,0.5,0.4618,0.494,0.6417,24915.03,False,84.07,84.07,89.6,89.6,89.6,89.6,88.77,88.77,89.32,89.32,84.07,84.07,90.03,90.03,0.9894,0.9689,1800,1802,0.9861,0.973,1938,1664,0.9896,0.9685,1822,1780
itw_real,0.9572,0.5,6,0.5,0.4619,0.4983,0.6445,24513.11,False,83.58,83.58,88.87,88.87,88.87,88.87,88.3,88.3,88.78,88.78,83.58,83.58,89.5,89.5,0.9839,0.9678,1801,1801,0.9809,0.9736,1938,1664,0.9839,0.9677,1806,1797
itw_real,0.9581,0.5,7,0.5,0.4585,0.4821,0.6337,24814.33,False,84.8,84.8,88.8,88.8,88.8,88.8,88.02,88.02,88.33,88.33,84.8,84.8,89.43,89.43,0.9833,0.9662,1800,1807,0.9821,0.9698,1951,1657,0.9813,0.9649,1867,1739
itw_real,0.9561,0.5,8,0.5,0.4571,0.4861,0.6363,24349.91,False,83.7,83.7,89.27,89.27,89.27,89.27,88.15,88.15,88.63,88.63,83.7,83.7,89.33,89.33,0.9773,0.9661,1803,1801,0.9755,0.9691,1958,1649,0.9779,0.9652,1853,1752
itw_real,0.9592,0.5,9,0.5,0.4658,0.497,0.6437,24988.06,False,83.67,83.67,89.03,89.03,89.03,89.03,88.53,88.53,88.97,88.97,83.67,83.67,89.62,89.62,0.9817,0.9734,1800,1805,0.9782,0.9744,1924,1680,0.9818,0.9749,1811,1795
itw_real,0.9626,0.5,10,0.5,0.4639,0.4895,0.6387,25199.84,False,84.83,84.83,89.23,89.23,89.23,89.23,88.8,88.8,88.92,88.92,84.83,84.83,90.02,90.02,0.9917,0.9695,1801,1805,0.9917,0.9731,1935,1672,0.9918,0.9734,1839,1768
itw_real,0.957,0.5,11,0.5,0.461,0.4963,0.6432,24512.59,False,83.45,83.45,89.03,89.03,89.03,89.03,88.3,88.3,89.05,89.05,83.45,83.45,90.05,90.05,0.985,0.9635,1800,1808,0.9846,0.9681,1943,1663,0.9851,0.9637,1815,1792
itw_real,0.9613,0.5,12,0.5,0.464,0.4903,0.6392,25164.4,False,84.45,84.45,89.13,89.13,89.13,89.13,88.4,88.4,89.12,89.12,84.45,84.45,89.78,89.78,0.9856,0.9694,1802,1800,0.9855,0.9731,1930,1672,0.9858,0.969,1835,1772
