prevalence,method,eer,auc
0.5,source,10.714285714285712,0.9627051020408163
0.5,st_cons,10.714285714285717,0.9670234693877551
0.5,repair,12.714285714285712,0.9456959183673469
0.5,repair_nocons,10.857142857142856,0.9630183673469388
0.1,source,12.142857142857144,0.953735827664399
0.1,st_cons,12.817460317460316,0.9482369614512471
0.1,repair,12.817460317460316,0.9538690476190477
0.3,source,10.22108843537415,0.9632033527696793
0.3,st_cons,9.948979591836734,0.968301749271137
0.3,repair,10.935374149659866,0.9613824101068997
0.7,source,10.816326530612244,0.9621173469387755
0.7,st_cons,11.156462585034014,0.9643537414965986
0.7,repair,10.663265306122453,0.9662184159378038
0.9,source,11.547619047619047,0.957766439909297
0.9,st_cons,13.611111111111107,0.952936507936508
0.9,repair,12.896825396825395,0.9536961451247165
