part,seed,target,method,eer,auc,acc,minutes
dann,0,asvspoof2019,dann,3.231,0.9948,94.93,30.0
dann,0,dataset2,dann,33.315,0.7419,60.56,29.9
dann,0,in_the_wild,dann,12.333,0.9548,85.08,30.1
dann,0,arabic,dann,28.291,0.7483,60.27,30.1
dann,1,asvspoof2019,dann,10.429,0.9609,58.06,30.0
dann,1,dataset2,dann,35.599,0.7103,64.43,29.9
dann,1,in_the_wild,dann,9.217,0.9728,89.73,30.1
dann,1,arabic,dann,31.619,0.6983,57.0,30.1
dann,2,asvspoof2019,dann,6.165,0.9858,84.78,30.0
dann,2,dataset2,dann,35.523,0.72,65.12,29.9
dann,2,in_the_wild,dann,14.3,0.8665,82.5,30.1
dann,2,arabic,dann,28.611,0.7241,59.66,30.0
