seed,target,method,setting,family,eer,auc,acc,n,minutes
0,asvspoof2019,source,transductive,xlsr,4.731,0.9909,92.92,5580,0.4
0,asvspoof2019,tent,transductive,xlsr,4.16,0.9916,91.08,5580,2.2
0,asvspoof2019,st_only,transductive,xlsr,4.39,0.9858,95.3,5580,3.8
0,asvspoof2019,ours,transductive,xlsr,4.246,0.9924,88.82,5580,5.6
0,asvspoof2019,bn_only,transductive,xlsr,4.731,0.9909,92.92,5580,0.8
0,asvspoof2019,oracle,transductive,xlsr,0.502,0.9998,98.76,5580,2.2
0,asvspoof2019,source,inductive,xlsr,4.982,0.9897,92.72,2790,0
0,asvspoof2019,ours,inductive,xlsr,4.476,0.9911,88.21,2790,0
0,asvspoof2019,mlaad_heldout_lang_recall,diagnostic,xlsr,,,92.25,2000,0
0,asvspoof2019,source,transductive,rawnet2lite,48.835,0.5207,51.42,5580,0
0,dataset2,source,transductive,xlsr,36.946,0.6872,59.39,4447,0.3
0,dataset2,tent,transductive,xlsr,38.475,0.6186,59.93,4447,1.7
0,dataset2,st_only,transductive,xlsr,35.731,0.682,64.09,4447,3.0
0,dataset2,ours,transductive,xlsr,36.721,0.6918,63.35,4447,4.4
0,dataset2,bn_only,transductive,xlsr,36.946,0.6872,59.39,4447,0.7
0,dataset2,oracle,transductive,xlsr,12.435,0.9508,75.8,4447,1.7
0,dataset2,source,inductive,xlsr,37.41,0.6883,59.62,2224,0
0,dataset2,ours,inductive,xlsr,37.274,0.6955,62.77,2224,0
0,dataset2,mlaad_heldout_lang_recall,diagnostic,xlsr,,,97.45,2000,0
0,dataset2,source,transductive,rawnet2lite,53.0,0.4548,45.47,4447,0
0,in_the_wild,source,transductive,xlsr,13.017,0.943,86.53,6000,0.4
0,in_the_wild,tent,transductive,xlsr,13.433,0.8903,86.0,6000,2.4
0,in_the_wild,st_only,transductive,xlsr,12.067,0.9441,87.83,6000,4.1
0,in_the_wild,ours,transductive,xlsr,13.183,0.945,86.87,6000,7.1
0,in_the_wild,bn_only,transductive,xlsr,13.017,0.943,86.53,6000,1.9
0,in_the_wild,oracle,transductive,xlsr,3.967,0.9922,88.42,6000,5.1
0,in_the_wild,source,inductive,xlsr,12.866,0.9429,86.9,3000,0
0,in_the_wild,ours,inductive,xlsr,14.234,0.9402,86.07,3000,0
0,in_the_wild,mlaad_heldout_lang_recall,diagnostic,xlsr,,,84.65,2000,0
0,in_the_wild,source,transductive,rawnet2lite,38.833,0.6631,56.4,6000,0
0,arabic,source,transductive,xlsr,21.6,0.8638,71.15,5570,0.9
0,arabic,tent,transductive,xlsr,44.903,0.5511,56.89,5570,4.7
0,arabic,st_only,transductive,xlsr,21.023,0.8603,78.9,5570,8.3
0,arabic,ours,transductive,xlsr,19.911,0.8811,80.09,5570,12.1
0,arabic,bn_only,transductive,xlsr,21.6,0.8638,71.15,5570,1.8
0,arabic,oracle,transductive,xlsr,9.336,0.9715,90.5,5570,4.8
0,arabic,source,inductive,xlsr,20.756,0.8691,71.71,2785,0
0,arabic,ours,inductive,xlsr,20.038,0.8818,79.28,2785,0
0,arabic,mlaad_heldout_lang_recall,diagnostic,xlsr,,,92.95,2000,0
0,arabic,source,transductive,rawnet2lite,56.196,0.4173,45.69,5570,0
1,asvspoof2019,source,transductive,xlsr,6.04,0.9862,81.02,5580,0.9
1,asvspoof2019,tent,transductive,xlsr,3.907,0.9888,96.11,5580,4.8
1,asvspoof2019,st_only,transductive,xlsr,4.875,0.9855,94.77,5580,8.4
1,asvspoof2019,ours,transductive,xlsr,4.265,0.9927,87.6,5580,12.2
1,asvspoof2019,bn_only,transductive,xlsr,6.04,0.9862,81.02,5580,1.8
1,asvspoof2019,oracle,transductive,xlsr,0.549,0.9998,99.32,5580,4.8
1,asvspoof2019,source,inductive,xlsr,6.272,0.9862,80.47,2790,0
1,asvspoof2019,ours,inductive,xlsr,4.769,0.9919,93.41,2790,0
1,asvspoof2019,mlaad_heldout_lang_recall,diagnostic,xlsr,,,97.6,2000,0
1,asvspoof2019,source,transductive,rawnet2lite,46.791,0.544,52.56,5580,0
1,dataset2,source,transductive,xlsr,32.63,0.7365,68.43,4447,0.7
1,dataset2,tent,transductive,xlsr,32.427,0.7183,68.81,4447,3.8
1,dataset2,st_only,transductive,xlsr,32.269,0.7166,67.37,4447,6.7
1,dataset2,ours,transductive,xlsr,32.291,0.7414,68.14,4447,9.8
1,dataset2,bn_only,transductive,xlsr,32.63,0.7365,68.43,4447,1.4
1,dataset2,oracle,transductive,xlsr,11.086,0.9581,76.28,4447,3.8
1,dataset2,source,inductive,xlsr,33.46,0.7291,67.9,2224,0
1,dataset2,ours,inductive,xlsr,33.857,0.7286,67.67,2224,0
1,dataset2,mlaad_heldout_lang_recall,diagnostic,xlsr,,,94.1,2000,0
1,dataset2,source,transductive,rawnet2lite,53.609,0.4572,45.58,4447,0
1,in_the_wild,source,transductive,xlsr,11.467,0.9506,72.58,6000,1.0
1,in_the_wild,tent,transductive,xlsr,31.4,0.6862,66.62,6000,5.1
1,in_the_wild,st_only,transductive,xlsr,11.5,0.9431,86.37,6000,9.0
1,in_the_wild,ours,transductive,xlsr,9.417,0.9702,90.6,6000,13.2
1,in_the_wild,bn_only,transductive,xlsr,11.467,0.9506,72.58,6000,1.9
1,in_the_wild,oracle,transductive,xlsr,3.117,0.9956,91.53,6000,5.1
1,in_the_wild,source,inductive,xlsr,11.167,0.9537,73.23,3000,0
1,in_the_wild,ours,inductive,xlsr,10.0,0.9677,89.67,3000,0
1,in_the_wild,mlaad_heldout_lang_recall,diagnostic,xlsr,,,96.85,2000,0
1,in_the_wild,source,transductive,rawnet2lite,34.583,0.7061,61.93,6000,0
1,arabic,source,transductive,xlsr,24.076,0.8364,63.12,5570,0.9
1,arabic,tent,transductive,xlsr,48.285,0.5172,54.31,5570,4.8
1,arabic,st_only,transductive,xlsr,23.304,0.84,76.55,5570,8.4
1,arabic,ours,transductive,xlsr,21.867,0.8593,78.17,5570,12.2
1,arabic,bn_only,transductive,xlsr,24.076,0.8364,63.12,5570,1.8
1,arabic,oracle,transductive,xlsr,8.922,0.9699,90.2,5570,4.7
1,arabic,source,inductive,xlsr,24.13,0.8355,62.98,2785,0
1,arabic,ours,inductive,xlsr,22.228,0.8504,77.59,2785,0
1,arabic,mlaad_heldout_lang_recall,diagnostic,xlsr,,,96.8,2000,0
1,arabic,source,transductive,rawnet2lite,55.782,0.4222,49.73,5570,0
2,asvspoof2019,source,transductive,xlsr,3.514,0.9933,78.24,5580,0.9
2,asvspoof2019,tent,transductive,xlsr,3.036,0.98,95.9,5580,4.8
2,asvspoof2019,st_only,transductive,xlsr,2.953,0.9899,95.07,5580,8.4
2,asvspoof2019,ours,transductive,xlsr,2.546,0.9964,90.88,5580,12.2
2,asvspoof2019,bn_only,transductive,xlsr,3.514,0.9933,78.24,5580,1.8
