part,target,language,seen_in_training,n,recall,mean_score
perlang,asvspoof2019,ar,True,300,95.67,0.9562
perlang,asvspoof2019,bg,True,300,94.0,0.939
perlang,asvspoof2019,bn,True,300,92.67,0.9212
perlang,asvspoof2019,cs,True,300,97.0,0.9593
perlang,asvspoof2019,da,True,300,94.33,0.9434
perlang,asvspoof2019,de,True,300,95.33,0.9345
perlang,asvspoof2019,el,True,300,91.33,0.9198
perlang,asvspoof2019,en,True,300,93.67,0.9279
perlang,asvspoof2019,es,True,300,98.33,0.9786
perlang,asvspoof2019,et,True,300,96.0,0.953
perlang,asvspoof2019,fa,True,300,93.0,0.9244
perlang,asvspoof2019,fi,False,300,85.67,0.8583
perlang,asvspoof2019,fr,True,300,96.0,0.9496
perlang,asvspoof2019,ga,True,300,95.0,0.9487
perlang,asvspoof2019,hi,True,300,97.0,0.9663
perlang,asvspoof2019,hr,False,300,98.67,0.9842
perlang,asvspoof2019,hu,False,300,91.67,0.9162
perlang,asvspoof2019,it,True,300,96.67,0.9565
perlang,asvspoof2019,ja,True,300,96.0,0.9666
perlang,asvspoof2019,ko,True,300,97.67,0.973
perlang,asvspoof2019,lt,False,300,98.33,0.984
perlang,asvspoof2019,lv,True,300,99.67,0.9953
perlang,asvspoof2019,mt,False,300,89.67,0.884
perlang,asvspoof2019,nl,True,300,97.33,0.9699
perlang,asvspoof2019,pl,True,300,95.33,0.947
perlang,asvspoof2019,pt,True,300,97.0,0.9667
perlang,asvspoof2019,ro,True,300,93.67,0.926
perlang,asvspoof2019,ru,True,300,95.67,0.9499
perlang,asvspoof2019,sk,True,300,91.67,0.9131
perlang,asvspoof2019,sl,False,300,100.0,0.9985
perlang,asvspoof2019,sv,True,300,92.67,0.9201
perlang,asvspoof2019,sw,True,300,98.33,0.9799
perlang,asvspoof2019,th,True,300,76.67,0.76
perlang,asvspoof2019,tk,True,300,80.33,0.807
perlang,asvspoof2019,tr,True,300,97.33,0.9718
perlang,asvspoof2019,uk,True,300,95.33,0.9557
perlang,asvspoof2019,vi,True,300,100.0,0.9981
perlang,asvspoof2019,zh-cn,True,300,99.0,0.9868
perlang,dataset2,ar,True,300,97.67,0.9683
perlang,dataset2,bg,True,300,95.0,0.9493
perlang,dataset2,bn,True,300,95.67,0.9506
perlang,dataset2,cs,True,300,99.0,0.9884
perlang,dataset2,da,True,300,95.67,0.9549
perlang,dataset2,de,True,300,99.33,0.9911
perlang,dataset2,el,True,300,93.0,0.9376
perlang,dataset2,en,True,300,99.0,0.9895
perlang,dataset2,es,True,300,99.33,0.9926
perlang,dataset2,et,True,300,96.0,0.9595
perlang,dataset2,fa,True,300,96.33,0.9582
perlang,dataset2,fi,False,300,96.0,0.9598
perlang,dataset2,fr,True,300,99.0,0.9899
perlang,dataset2,ga,True,300,96.33,0.9617
perlang,dataset2,hi,True,300,98.33,0.9784
perlang,dataset2,hr,False,300,99.67,0.9962
perlang,dataset2,hu,False,300,98.67,0.9854
perlang,dataset2,it,True,300,98.0,0.982
perlang,dataset2,ja,True,300,97.67,0.9761
perlang,dataset2,ko,True,300,99.33,0.9925
perlang,dataset2,lt,False,300,100.0,0.9992
perlang,dataset2,lv,True,300,100.0,1.0
perlang,dataset2,mt,False,300,93.33,0.9335
perlang,dataset2,nl,True,300,98.67,0.9868
perlang,dataset2,pl,True,300,98.67,0.9856
perlang,dataset2,pt,True,300,99.0,0.9847
perlang,dataset2,ro,True,300,96.33,0.9609
perlang,dataset2,ru,True,300,97.67,0.9768
perlang,dataset2,sk,True,300,95.33,0.9527
perlang,dataset2,sl,False,300,100.0,1.0
perlang,dataset2,sv,True,300,94.0,0.9423
perlang,dataset2,sw,True,300,100.0,0.9971
perlang,dataset2,th,True,300,83.33,0.8315
perlang,dataset2,tk,True,300,86.67,0.8598
perlang,dataset2,tr,True,300,98.67,0.9817
perlang,dataset2,uk,True,300,97.67,0.974
perlang,dataset2,vi,True,300,100.0,1.0
perlang,dataset2,zh-cn,True,300,98.67,0.9866
perlang,in_the_wild,ar,True,300,93.0,0.927
perlang,in_the_wild,bg,True,300,94.33,0.9365
perlang,in_the_wild,bn,True,300,72.67,0.7442
perlang,in_the_wild,cs,True,300,96.33,0.9656
perlang,in_the_wild,da,True,300,93.33,0.9375
perlang,in_the_wild,de,True,300,89.0,0.8948
perlang,in_the_wild,el,True,300,80.0,0.8064
perlang,in_the_wild,en,True,300,80.67,0.8059
perlang,in_the_wild,es,True,300,98.33,0.9815
perlang,in_the_wild,et,True,300,94.67,0.9384
perlang,in_the_wild,fa,True,300,92.67,0.9152
perlang,in_the_wild,fi,False,300,87.33,0.8689
perlang,in_the_wild,fr,True,300,93.67,0.9411
perlang,in_the_wild,ga,True,300,95.33,0.9485
perlang,in_the_wild,hi,True,300,95.33,0.9484
perlang,in_the_wild,hr,False,300,98.33,0.9797
perlang,in_the_wild,hu,False,300,87.0,0.8775
perlang,in_the_wild,it,True,300,93.67,0.9335
perlang,in_the_wild,ja,True,300,98.0,0.9748
perlang,in_the_wild,ko,True,300,98.0,0.982
perlang,in_the_wild,lt,False,300,95.0,0.9435
perlang,in_the_wild,lv,True,300,99.33,0.9928
perlang,in_the_wild,mt,False,300,63.0,0.6296
perlang,in_the_wild,nl,True,300,93.67,0.9309
perlang,in_the_wild,pl,True,300,89.0,0.8907
perlang,in_the_wild,pt,True,300,94.33,0.9449
perlang,in_the_wild,ro,True,300,88.67,0.8848
perlang,in_the_wild,ru,True,300,92.67,0.9315
perlang,in_the_wild,sk,True,300,91.33,0.9144
perlang,in_the_wild,sl,False,300,88.67,0.8909
perlang,in_the_wild,sv,True,300,91.0,0.909
perlang,in_the_wild,sw,True,300,97.33,0.9723
perlang,in_the_wild,th,True,300,81.0,0.8114
perlang,in_the_wild,tk,True,300,81.0,0.8198
perlang,in_the_wild,tr,True,300,95.33,0.9505
perlang,in_the_wild,uk,True,300,94.67,0.9453
perlang,in_the_wild,vi,True,300,99.67,0.9977
perlang,in_the_wild,zh-cn,True,300,96.0,0.9611
perlang,arabic,ar,True,300,95.67,0.957
perlang,arabic,bg,True,300,91.33,0.9146
perlang,arabic,bn,True,300,88.0,0.8731
perlang,arabic,cs,True,300,95.0,0.9464
perlang,arabic,da,True,300,91.0,0.9173
perlang,arabic,de,True,300,90.33,0.9038
perlang,arabic,el,True,300,88.33,0.8809
perlang,arabic,en,True,300,89.0,0.8871
perlang,arabic,es,True,300,98.67,0.978
perlang,arabic,et,True,300,91.33,0.9085
perlang,arabic,fa,True,300,92.33,0.9162
perlang,arabic,fi,False,300,89.67,0.8891
perlang,arabic,fr,True,300,94.33,0.9451
perlang,arabic,ga,True,300,90.33,0.908
perlang,arabic,hi,True,300,96.33,0.9618
perlang,arabic,hr,False,300,99.33,0.9926
perlang,arabic,hu,False,300,92.67,0.9248
perlang,arabic,it,True,300,93.33,0.9291
perlang,arabic,ja,True,300,96.33,0.9608
perlang,arabic,ko,True,300,97.67,0.9709
perlang,arabic,lt,False,300,99.33,0.9937
perlang,arabic,lv,True,300,100.0,0.9984
perlang,arabic,mt,False,300,86.33,0.8593
perlang,arabic,nl,True,300,93.33,0.9325
perlang,arabic,pl,True,300,92.33,0.9181
perlang,arabic,pt,True,300,95.33,0.9514
perlang,arabic,ro,True,300,91.33,0.915
perlang,arabic,ru,True,300,96.33,0.9573
perlang,arabic,sk,True,300,88.67,0.8847
perlang,arabic,sl,False,300,100.0,0.9998
perlang,arabic,sv,True,300,88.67,0.8925
perlang,arabic,sw,True,300,99.0,0.9876
perlang,arabic,th,True,300,66.67,0.6787
perlang,arabic,tk,True,300,73.0,0.7272
perlang,arabic,tr,True,300,95.67,0.9556
perlang,arabic,uk,True,300,93.67,0.9322
perlang,arabic,vi,True,300,100.0,0.9999
perlang,arabic,zh-cn,True,300,99.0,0.985
