target,knob,q,epochs,lam,eer,auc
in_the_wild,q,0.1,4,0.3,16.817,0.9206
in_the_wild,q,0.2,4,0.3,16.733,0.917
in_the_wild,q,0.3,4,0.3,16.2,0.9209
in_the_wild,q,0.4,4,0.3,15.8,0.9278
in_the_wild,epochs,0.3,2,0.3,17.0,0.9114
in_the_wild,epochs,0.3,8,0.3,14.6,0.9344
in_the_wild,lam,0.3,4,0.0,14.7,0.9369
in_the_wild,lam,0.3,4,1.0,14.983,0.9302
arabic,q,0.1,4,0.3,27.308,0.8011
arabic,q,0.2,4,0.3,25.69,0.8253
arabic,q,0.3,4,0.3,26.696,0.8167
arabic,q,0.4,4,0.3,27.577,0.8061
arabic,epochs,0.3,2,0.3,27.183,0.8054
arabic,epochs,0.3,8,0.3,26.805,0.8163
arabic,lam,0.3,4,0.0,28.205,0.7951
arabic,lam,0.3,4,1.0,24.724,0.8348
