target,knob,q,epochs,lam,eer,auc
in_the_wild,source,,,,18.733333333333334,0.8999507222222223
in_the_wild,q,0.1,4.0,0.3,14.867,0.9325
in_the_wild,q,0.2,4.0,0.3,14.7,0.9331
in_the_wild,q,0.3,4.0,0.3,14.25,0.934
in_the_wild,q,0.4,4.0,0.3,14.467,0.9386
in_the_wild,epochs,0.3,2.0,0.3,15.383,0.9232
in_the_wild,epochs,0.3,8.0,0.3,13.033,0.9448
in_the_wild,lam,0.3,4.0,0.0,15.75,0.9189
in_the_wild,lam,0.3,4.0,1.0,13.983,0.9368
arabic,source,,,,28.563488975356677,0.7808436446173801
arabic,q,0.1,4.0,0.3,25.135,0.825
arabic,q,0.2,4.0,0.3,23.051,0.849
arabic,q,0.3,4.0,0.3,24.74,0.8355
arabic,q,0.4,4.0,0.3,24.507,0.8301
arabic,epochs,0.3,2.0,0.3,26.985,0.8086
arabic,epochs,0.3,8.0,0.3,23.123,0.8515
arabic,lam,0.3,4.0,0.0,25.457,0.8219
arabic,lam,0.3,4.0,1.0,25.279,0.8319
